 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 93.915 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 MeV   1.027E+04  3.970E+01   15.20 um     5346 A      5954 A   
 110.00 MeV   1.058E+04  3.668E+01   16.16 um     5534 A      6046 A   
 120.00 MeV   1.087E+04  3.412E+01   17.08 um     5705 A      6130 A   
 130.00 MeV   1.111E+04  3.191E+01   17.99 um     5864 A      6207 A   
 140.00 MeV   1.133E+04  2.999E+01   18.88 um     6011 A      6279 A   
 150.00 MeV   1.153E+04  2.831E+01   19.75 um     6150 A      6346 A   
 160.00 MeV   1.170E+04  2.681E+01   20.61 um     6281 A      6409 A   
 170.00 MeV   1.185E+04  2.547E+01   21.46 um     6406 A      6469 A   
 180.00 MeV   1.197E+04  2.427E+01   22.29 um     6525 A      6526 A   
 200.00 MeV   1.218E+04  2.220E+01   23.94 um     6949 A      6633 A   
 225.00 MeV   1.222E+04  2.009E+01   25.99 um     7547 A      6756 A   
 250.00 MeV   1.227E+04  1.837E+01   28.03 um     8096 A      6870 A   
 275.00 MeV   1.226E+04  1.693E+01   30.06 um     8608 A      6978 A   
 300.00 MeV   1.222E+04  1.572E+01   32.10 um     9093 A      7081 A   
 325.00 MeV   1.215E+04  1.468E+01   34.15 um     9557 A      7181 A   
 350.00 MeV   1.206E+04  1.377E+01   36.21 um     1.00 um     7277 A   
 375.00 MeV   1.194E+04  1.298E+01   38.29 um     1.04 um     7371 A   
 400.00 MeV   1.182E+04  1.228E+01   40.39 um     1.09 um     7464 A   
 450.00 MeV   1.155E+04  1.109E+01   44.67 um     1.25 um     7645 A   
 500.00 MeV   1.125E+04  1.012E+01   49.05 um     1.39 um     7824 A   
 550.00 MeV   1.096E+04  9.319E+00   53.55 um     1.53 um     8002 A   
 600.00 MeV   1.066E+04  8.641E+00   58.17 um     1.67 um     8180 A   
 650.00 MeV   1.037E+04  8.059E+00   62.93 um     1.80 um     8361 A   
 700.00 MeV   1.009E+04  7.555E+00   67.81 um     1.93 um     8544 A   
 800.00 MeV   9.572E+03  6.723E+00   77.98 um     2.41 um     8919 A   
 900.00 MeV   9.098E+03  6.065E+00   88.69 um     2.85 um     9309 A   
   1.00 GeV   8.671E+03  5.529E+00   99.94 um     3.27 um     9717 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.7011E-03                keV / (ug/cm2) 
  3.7011E-03                MeV / (mg/cm2) 
  3.7011E+00                keV / (mg/cm2) 
  1.6582E-01                 eV / (1E15 atoms/cm2)
  2.0952E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
